REF	Company (Manufacturer)	Company Location	Review Date	Country of Bean Origin	Specific Bean Origin or Bar Name	Cocoa Percent	Ingredients	Most Memorable Characteristics	Rating
2848	Gansett	U.S.A.	2023	Peru	Chuncho, batch 32	70%	3- B,S,C	fatty, nutty, pear	3
2728	Eldora	U.S.A.	2022	Uganda	Semuliki, 2019 harvest, batch 1575	70%	3- B,S,C	simple, mild caramel, choco	3.75
2724	Eldora	U.S.A.	2022	Tanzania	Kokoa Kamili, 2020 harvest, batch 1574	70%	3- B,S,C	heavy roast, choco, coffee-like	3.5
2724	Eldora	U.S.A.	2022	Madagascar	Lazan'ny, 2019 harvest, batch 1547	70%	3- B,S,C	roasty, hammy, sour	3.25
2728	Eldora	U.S.A.	2022	Ecuador	Puerto Quito, 2021 harvest, batch 1560	70%	3- B,S,C	fatty, floral, rum, roasty	3
2728	Eldora	U.S.A.	2022	Dominican Republic	Zorzal, 2021 harvest, batch 1549	70%	3- B,S,C	dominate roast, fruit then earthy	3
2728	Eldora	U.S.A.	2022	Belize	Maya Mtn., 2019 harvest, batch 1573	70%	3- B,S,C	dried fruit, raisiny, mild roast	3.5
2800	Eigen	U.S.A.	2022	Vietnam	Ben Tre	70%	3- B,S,C	complex, tart, sweet, hazelnut	3.5
2800	Eigen	U.S.A.	2022	Vietnam	Lam Dong	62%	3- B,S,C	sweet, smooth, caramel, cocoa	3.25
2800	Eigen	U.S.A.	2022	Trinidad	Rio Claro	70%	3- B,S,C	vegetal, rubbery, burnt, off	3
2800	Eigen	U.S.A.	2022	Tanzania	Kokoa Kamili	70%	3- B,S,C	creamy, minted cocoa, fruit	3.25
2804	Eigen	U.S.A.	2022	Dominican Republic	Zorzal	70%	3- B,S,C	cashew, dried fruit, coffee AT	3
2804	Eigen	U.S.A.	2022	Colombia	Gigante Huila	70%	3- B,S,C	toffee, caramel, sl. Fatty	3.5
2744	DWAAR	U.S.A.	2022	Dominican Republic	Zorzal	70%	3- B,S,C	accidental spicy (Kulfi?), burn	3
2752	Ducrey	U.S.A.	2022	Nicaragua	O'Payo, Wasalala Co-op	75%	2- B,S	earthy, dirty	2.75
2808	20N | 20S	France	2022	Venezuela	Chuao, 2020 Harvest	78%	2- B,S	sl. dry, fruit, cocoa, ham	3
2752	Ducrey	U.S.A.	2022	Haiti	Pisa	70%	2- B,S	rich brownie, roasty, coffee	3.25
2752	Ducrey	U.S.A.	2022	Dominican Republic	Zorzal, Cibao, San Francisco de Macoris	70%	2- B,S	tobacco, roasty, hint of fruit	3.25
2748	Domori	Italy	2022	Brazil	Brazil	70%	2- B,S	grassy, herbal, tea	3.5
2740	Didier Smeets	Belgium	2022	Vietnam	Vietnam	70%	3- B,S,C	sweet, fatty, rancid	2.75
2736	Didier Smeets	Belgium	2022	Peru	Peru	65%	3- B,S,C	peanut butter, dirty	2.75
2732	Didier Smeets	Belgium	2022	Madagascar	Madagascar	63%	3- B,S,C	sl sour, grassy, off, fatty	3
2740	Didier Smeets	Belgium	2022	Indonesia	Bali	65%	3- B,S,C	earthy, astringent, metallic	2.5
2808	20N | 20S	France	2022	Venezuela	Chuao, 2018 Harvest	78%	2- B,S	sandy, astringent, soil, grassy	2.75
2772	DAR	U.S.A.	2022	Costa Rica	Finnac Farm, cacao dried by DeVries, batch 3	72%	3- B,S,C	creamy, intense, tart, cherry	3.75
2724	CRU	U.S.A.	2022	Nicaragua	La Dalia, batch 21266	72%	2- B,S	mild molasses, creamy, caramel	3.5
2724	CRU	U.S.A.	2022	Honduras	La Masica, batch 21155	72%	2- B,S	floral, mild molasses, astringent	3
2720	CRU	U.S.A.	2022	Guatemala	El Peten, batch 21156	72%	2- B,S	sticky, mild molasses, mango	3.5
2740	Cedric de Taeye	Belgium	2022	Trinidad	Gran Couva, 2018 harvest (75% Beans)	75%	3- B,S,C	grassy, fatty, bittersweet	2.5
2740	Cedric de Taeye	Belgium	2022	Madagascar	Ambanja, 2018 harvest (74% Beans)	74%	3- B,S,C	tart, bitter, astringent	2.75
2736	Cedric de Taeye	Belgium	2022	Cuba	Baracoa, Guantanamo Province, (72% Beans)	72%	3- B,S,C	bitter, fatty, woodsy	3
2776	Burnt Fork Bend	U.S.A.	2022	Bolivia	Bolivia, batch 03070821	72%	3- B,S,C	plum, acidic, astringent, bold	3
2712	A. Morin	France	2022	Peru	Cusco	70%	3- B,S,C	green banana, roasty, cocoa	3.5
2780	Bonnat	France	2022	Philippines	Philippines, "Les Sirenes"	75%	3- B,S,C	nutty, roasty, granola	3.5
2744	Benoit Nihant	Belgium	2022	Venezuela	Finca Orquidea, Porcelana, lot 5	74%	4- B,S,C,L	delicate, nutty, caramel, sl. Off	3
2768	White Label aka Mutari	U.S.A.	2022	Jamaica	Bachelor's Hall, BHJ72030521040321	72%	3- B,S,C	smooth, toffee, nutty, cocoa	3.75
2768	White Label aka Mutari	U.S.A.	2022	India	Kerala, K172Testbatch1	72%	3- B,S,C	creamy, balanced, cocoa, fruity	3.75
2764	White Label aka Mutari	U.S.A.	2022	Ecuador	Costa Esmeraldas, CEconche77121620121820	77%	3- B,S,C	complex, hazelnut, dairy, fruit	4
2768	White Label aka Mutari	U.S.A.	2022	Colombia	Chaparral, batch 12022	72%	3- B,S,C	hint of caramel, alcohol, vegetal	3.5
2744	Vesta	U.S.A.	2022	Guatemala	Guatemala	78%	3- B,S*,C	rich cocoa, fruit, bitter, molasses	3.5
2744	Benoit Nihant	Belgium	2022	Ecuador	Hacienda Victoria, lot 42	73%	4- B,S,C,L	floral, melon, spicy	3.5
2780	Belvie	Vietnam	2022	Vietnam	Thien Tug, Lam Dong, b. 70306	75%	3- B,S,C	sour, dairy, dirty	2.5
2780	Belvie	Vietnam	2022	Vietnam	Dong Nai, b. 70304	70%	3- B,S,C	burnt, black pepper, grapefruit	2.5
2776	Svenska Kakaobolaget	Sweden	2022	Peru	Ucayali	72%	2- B,S	complex, black licorice, pungent	3.25
2748	Standout	Sweden	2022	Madagascar	Bejofo	70%	2- B,S	slow to develop, melon, earthy	3.25
2748	Standout	Sweden	2022	India	Idukki, GoGround, 2019 harvest	70%	2- B,S	raisins, molasses, herbal tea	3.5
2748	Standout	Sweden	2022	Belize	Maya Mtn, March-May 2020 harvest	70%	2- B,S	honey, cocoa, graham	3.5
2712	A. Morin	France	2022	Indonesia	Java, Arjuna	70%	3- B,S,C	smoke dominates, hint of fruit	3.75
2768	Soma	Canada	2022	Uganda	Semuliki Forest, Bundibugyo, b. 13416SEM220426	70%	3- B,S,C	creamy,choco strawberry,vanilla	4
2804	Slow Cocoa	U.S.A.	2022	Honduras	Wampu	70%	2- B,S	grassy, earthy, tannic, intense	3
2804	Slow Cocoa	U.S.A.	2022	Dominican Republic	Zorzal	70%	2- B,S	fruity, strong cocoa, sweet	3.5
2788	Bare Bones	U.K.	2022	Madagascar	Sambirano, UCLS Co-op	70%	3- B,S,C	mild fruit, strong cocoa	3.5
2736	Bare Bones	U.K.	2022	Guatemala	Rio Dulce, Xoco, batch 632	65%	3- B,S,C	sweet, honey, earthy, cocoa	3.25
2716	Sierra Sagrada	Colombia	2022	Colombia	Sierra Nevada, Santa Marta	72%	3- B,S,C	brownie, mocha, marshmallow	3.5
2780	Pump Street Bakery	U.K.	2022	Jamaica	Tulloch Estates, "the fermentation proj.", b. 11306	76%	3- B,S,C	rum, hazelnut, bold, unique	3.25
2760	Nostalgia	U.S.A.	2022	Tanzania	Kokoa Kamili	70%	2- B,S	tart, lemony , high astringency	3.5
2760	Nostalgia	U.S.A.	2022	Peru	Ucayali	70%	2- B,S	grass, tobacco	3
2760	Nostalgia	U.S.A.	2022	Mexico	Tabasco	67%	2- B,S	sl. sweet, basic cocoa	3
2756	Nostalgia	U.S.A.	2022	Madagascar	Bejofo	70%	2- B,S	sl. Burnt, nutty, fruit in back	3.25
2760	Nostalgia	U.S.A.	2022	India	Anamalai	70%	2- B,S	delicate, coffee, caramel	3.75
2736	Nostalgia	U.S.A.	2022	Dominican Republic	Zorzal Republic	70%	2- B,S	orange,citrus, high astringency	3.5
2732	Nicolas	Brazil	2022	Brazil	Linhares, lot 0321, 2021 harvest	71%	3- B,S,C	molasses, dried fruit	3.25
2732	Nicolas	Brazil	2022	Brazil	Terruc Tuere	72%	3- B,S,C	molasses, earthy, flat	3
2716	A. Morin	France	2022	Bolivia	Ekeko	70%	4- B,S,C,L	woody, honey, leathery	2.75
2716	Meybol	Germany	2022	Peru	Cusco No. 3, Chuncho Collection	72%	3- B,S,C	pungent, grape, apricot	3
2732	Mesjokke	Netherlands	2022	Honduras	Honduras, batch 744	72%	4- B,S,C,L	chewy, woody, off notes	2.5
2808	Argencove	Nicaraqua	2022	Nicaragua	Nicaragua, Batch No. 18	80%	3- B,S,C	bold, smooth, rich cocoa, citrus	3.75
2776	Markham & Fitz	U.S.A.	2022	Haiti	Pisa, R&D, batch F02	65%	3- B,S,C	hammy, sweet, roasty	2.75
2784	Manoa	U.S.A.	2022	U.S.A.	Kona, Likau Kula Farm	70%	3- B,S,C	banana, nutty, floral	3.75
2788	Krak	Netherlands	2022	Mexico	Soconusco, 2018 h., 6 day ferment, 1 turn, finca la rioja	70%	3- B,S,C	vegetal, green	3.25
2788	Krak	Netherlands	2022	Mexico	Soconusco, 2018 h., 5 day ferment, 1 turn, finca la rioja	70%	3- B,S,C	pungent, dirty, sl. Chemical	2.75
2784	Karuna	Italy	2022	Tanzania	Tanzania, lot# 1-21042	70%	3- B,S,C	smooth, roasty, nutty, fruit	3.5
2788	Karuna	Italy	2022	India	India	70%	3- B,S,C	rich, yogurt, milk choco, spice	3.5
2784	Karuna	Italy	2022	Belize	Belize, regular drying, lot# 1-21072	70%	3- B,S,C	cherry, sl. Metallic	3.5
2784	Karuna	Italy	2022	Belize	Belize, slow dried, lot# 1-21071	70%	3- B,S,C	green, raw, vegetal	3
2764	Kah Kow - USA	U.S.A.	2022	Dominican Republic	Tireo, medium roast, Chi Bui collab	72%	4- B,S,C,L	cocoa with hint of melon	4
2764	Kah Kow - USA	U.S.A.	2022	Dominican Republic	Los Bejucos	72%	4- B,S,C,L	honey, molasses, cream, woody	3.5
2764	Kah Kow - USA	U.S.A.	2022	Dominican Republic	Tireo, light roast, Chi Bui collab	72%	4- B,S,C,L	floral, woody, cocoa, creamy	3.5
2716	Kah Kow	U.S.A.	2022	Dominican Republic	El Ramonal	80%	3- B,S,C	dried fruit, bitter, rubbery	3.25
2792	Heritage Food Crafters	U.S.A.	2022	Vietnam	Dak Nong	70%	3- B,S,C	fudge, pistachio	3.75
2796	Heritage Food Crafters	U.S.A.	2022	Uganda	Bundibugyo	70%	3- B,S,C	fudge, mild fruit, "lecithin-like"	3.25
2796	Heritage Food Crafters	U.S.A.	2022	Philippines	South Cotabato	70%	3- B,S,C	cocoa, nut, graham	3.25
2792	Heritage Food Crafters	U.S.A.	2022	Peru	Ucayali	72%	3- B,S,C	pungent, rubbery	2.5
2792	Heritage Food Crafters	U.S.A.	2022	Madagascar	Sambirano	72%	3- B,S,C	sl. Sandy, fruit, sweet	3
2792	Heritage Food Crafters	U.S.A.	2022	India	Anamalai	70%	3- B,S,C	mint, sour milk, sweet	2.75
2796	Heritage Food Crafters	U.S.A.	2022	Haiti	Acul du Nord	70%	3- B,S,C	choco, gianduja, "lecithin-like"	3.5
2796	Heritage Food Crafters	U.S.A.	2022	Dominican Republic	Oko-Caribe	72%	3- B,S,C	nutty, milk choco, "lecithin-like"	3.25
2756	Harvest	U.S.A.	2022	Haiti	Haiti	64%	2- B,S	too sweet, off, rubbery	2.75
2756	Harvest	U.S.A.	2022	Guatemala	Guatemala	68%	2- B,S	fruit, cocoa, lemony	3.5
2752	Harvest	U.S.A.	2022	Ghana	Ghana	68%	2- B,S	deep cocoa, nutty, earthy	3.25
2756	Harvest	U.S.A.	2022	Ecuador	Ecuador	68%	2- B,S	spicy, earthy, grassy, astringent	3.25
2772	Fruition	U.S.A.	2022	Peru	Chuncho, Cuzco	73%	3- B,S,C	dairy, light fruit, creamy	3.75
2772	Fruition	U.S.A.	2022	Peru	Maranon, Cajamarca	73%	3- B,S,C	grape, caramel, butterscotch	3.75
2772	Fruition	U.S.A.	2022	Peru	Piura Blanco	73%	3- B,S,C	margarine, creamy, muted	3.25
2776	Fruition	U.S.A.	2022	Bolivia	Tranquilidad, Beniano	66%	3- B,S,C	woody, earthy, sweet, off	3
2720	Friis Holm	Denmark	2022	Nicaragua	Don Alfonso, North of El Castillo, single farm	70%	3- B,S,C	cocoa, roasty, sweet, fruit, spice	3.5
2720	Friis Holm	Denmark	2022	Madagascar	Bejofo, Akesson, fast dry	64%	3- B,S,C	caramel, cocoa, fruit	3.75
2720	Friis Holm	Denmark	2022	Madagascar	Bejofo, Akesson, slow dry	64%	3- B,S,C	pungent, sour cherry	3.5
2808	Fresco	U.S.A.	2022	Venezuela	Chuao, LR-SC, b. 22-595, limited ed.	82%	3- B,S,C	tart, bright, dried fruit, bitterness	3.25
2570	Escazu	U.S.A.	2021	Colombia	Arhuacos, Sierra Nevada, batch 060221	70%	2- B,S	mild licorice, late mocha	3.5
2570	Escazu	U.S.A.	2021	Blend	"Roasted Cocoa Nibs", Latin America Blend, b.060321	65%	3- B,S,C	sweet, too few nibs, cocoa	3
2648	Duffy's	U.K.	2021	Nicaragua	Juno, batch 201006	70%	4- B,S,C,L	fruit, holiday spice	3.5
2696	Dormouse	U.K.	2021	Belize	Trio Reserve, 2020 h. batch D002	78%	3- B,S,C	molasses notes dominate	3.25
2656	Dick Taylor	U.S.A.	2021	Mexico	Soconusco, Rayen Cacao Co-op, batch 21154	72%	2- B,S	dried fruit, fig, astringent, sticky	4
2554	Dick Taylor	U.S.A.	2021	Jamaica	Bachelor's Hall, batch 20240	75%	2- B,S	sl. bitter, black licorice, dried fig	3.75
2550	Dandelion (Japan)	U.S.A.	2021	Dominican Republic	Zorzal Estate, 2017 h.	70%	2- B,S	light caramel, sl. dry, earthy	3
2546	Dandelion	U.S.A.	2021	Tanzania	Kokoa Kamili, 2017 h., batch 2	70%	2- B,S	dairy, honey, cocoa	3.5
2550	Dandelion	U.S.A.	2021	Peru	Piura Blanco, 2015 h.,Norandino Coop, batch 1	70%	2- B,S	grape, pungent	3.25
2602	Dandelion	U.S.A.	2021	India	Anamalai, 2019 H., batch 1, nutmeg fermentation	70%	2- B,S	orange soda, sour	3.25
2602	Dandelion	U.S.A.	2021	India	Anamalai, 2018 H., batch 1	70%	2- B,S	pungent, sour, tart, intense	2.75
2602	Dandelion	U.S.A.	2021	Guatemala	Cahabon, Cacao Verapaz, ADIOESMAC, batch 1	70%	2- B,S	pungent, woody, choco pudding	2.75
2550	Dandelion	U.S.A.	2021	Dominican Republic	Zorzal Estate, 2016 h., batch 1	70%	2- B,S	faint fruit, basic fudgey	3.5
2546	Dandelion	U.S.A.	2021	Brazil	Vale Potumuju, 2019 h., batch 1	70%	2- B,S	distinct choco and graham	4
2574	Dancing Lion	U.S.A.	2021	U.S.A. (Puerto Rico)	Puerto Rico, collab w/ USDA (Juan Echevarria)	68%	4- B,S,C,L	harsh woody/green, cocoa base	2.5
2574	Dancing Lion	U.S.A.	2021	Peru	Ucayali, collab w/ USAID & Alanzo Cacao	72%	4- B,S,C,L	raisiny, slight anise, roasty	3.5
2574	Dancing Lion	U.S.A.	2021	India	Anamalai	72%	4- B,S,C,L	fresh fruit, sour cherry, roasty	3
2622	Cuna de Piedra	Mexico	2021	Mexico	Comalcalco, Tabasco, b. 2370003, 2019 harvest	73%	2- B,S	deep cocoa, fruit, melon	3.75
2656	Crow and Moss	U.S.A.	2021	India	Anamalai, Pollachi City, batch 148	70%	2- B,S	sticky, cocoa, honey	3.75
2688	Conjure	U.S.A.	2021	Tanzania	Kokoa Kamili	75%	3- B,S,C	cocoa, mild fruit	3.5
2688	Conjure	U.S.A.	2021	Philippines	Malah Na Bulong	70%	3- B,S,C	cocoa, grass, off notes	2.5
2684	Conjure	U.S.A.	2021	Peru	Ucayali	68%	3- B,S,C	spicy, vanilla, sweet, cocoa	3.25
2688	Conjure	U.S.A.	2021	Ivory Coast	Ivory Coast, Rainforest Alliance, batch 7	70%	3- B,S,C	off, harsh, dirty, chemical	2.5
2606	Cocoa Forge	U.S.A.	2021	Peru	Maranon, batch 244PEmaD	68%	3- B,S,C	molasses, dried fruit, tart, off	3
2606	Cocoa Forge	U.S.A.	2021	Madagascar	Sambirano, batch 236MAsaD77	77%	2- B,S	Rich cocoa, tart, papery	3.25
2606	Cocoa Forge	U.S.A.	2021	Colombia	Tumaco, batch 227COtm	70%	3- B,S,C	sweet, cocoa, cardboard off	3.25
2630	Cleveland Chocolate Company	U.S.A.	2021	Haiti	Pisa	79%	3- B,S,C	blueberry, sweet edge, pure	3.5
2630	Cleveland Chocolate Company	U.S.A.	2021	Dominican Republic	Oko Caribe	70%	3- B,S,C	spice, earthy, honey, sour	3.5
2638	Chokola	U.S.A.	2021	Tanzania	Kokoa Kamili, harvest 2018	75%	2- B,S	roasty, cocoa, sandy, coffee AT	3.5
2638	Chokola	U.S.A.	2021	Bolivia	Wild Tranquilidad, harvest 2018, batch 9	75%	2- B,S	hint of lemon, classic brownie	3.75
2594	Chocotenango	U.S.A.	2021	Guatemala	Chivite, Cahabon River	70%	2- B,S	melon, mild spice, cocoa	3.25
2598	Chocotenango	U.S.A.	2021	Dominican Republic	Duarte	73%	2- B,S	hazelnut, bold, strong roast	3.25
2594	Chocotenango	U.S.A.	2021	Belize	Maya Mountain, Toledo	70%	2- B,S	full flavor w/ dominant roast	3.5
2700	Chocolate Tree	Scotland	2021	Venezuela	Chuao	70%	3- B,S,C	nutty, mild dried fruit, sandy, off	2.75
2546	5150	U.S.A.	2021	Venezuela	Sur del Lago, batch 1	72%	3- B,S,C	fatty, earthy, moss, nutty,chalky	3
2668	Chequessett	U.S.A.	2021	Dominican Republic	Dominican Republic, "Provincetown Dark"	69%	3- B,S,C	dried fruit, banana, sweet, vanilla	3.25
2668	Chequessett	U.S.A.	2021	Colombia	Tumaco Narino	83%	3- B,S,C	early fruit, earthy, alcohol	3.25
2676	Chaleur B	Canada	2021	Peru	Maranon, nano-lot #709, bar# 371	72%	3- B,S,C	dominate grape, plastic off note	3.25
2672	Chaleur B	Canada	2021	Madagascar	Ambanja, Sambirano Valley	70%	3- B,S,C	cherry, sour milk, brownie	3
2676	Chaleur B	Canada	2021	Belize	Maya Mountain	70%	3- B,S,C	vanilla, sour, bubblegum	3
2688	Castronovo	U.S.A.	2021	Venezuela	Chuao, batch 1089	72%	3- B,S,C	mild strawberry, cocoa, acidic	4
2554	Castronovo	U.S.A.	2021	Peru	Valle de Los Rios, batch 990	70%	3- B,S,C	complex, strawberry, floral	4
2626	CAR Artisan	U.S.A.	2021	Tanzania	Kokoa Kamili, batch 9	70%	3- B,S,C	unusually tart, nutty	3.25
2630	CAR Artisan	U.S.A.	2021	Peru	Ucayali, batch 12	70%	3- B,S,C	intense, cooked black licorice	3.25
2626	CAR Artisan	U.S.A.	2021	Nicaragua	La Colonia, batch 5	70%	3- B,S,C	burnt blueberry, off	3
2630	CAR Artisan	U.S.A.	2021	Mexico	Soconusco, batch 2	70%	3- B,S,C	strong tobacco, grassy	3.25
2546	5150	U.S.A.	2021	Uganda	Semuliki Forest, batch 1	80%	3- B,S,C	mildly bitter, basic cocoa, fatty	3.25
2558	Caofiori	Colombia	2021	Colombia	Meta	70%	4- B,S,C,L	cocoa base, fruit, creamy	3.75
2558	Caofiori	Colombia	2021	Colombia	Choco	70%	4- B,S,C,L	single note of cocoa, fatty	3.5
2558	Caofiori	Colombia	2021	Colombia	Tumaco	70%	4- B,S,C,L	spice, honey, fatty	3.25
2558	Caofiori	Colombia	2021	Colombia	Arauca	70%	4- B,S,C,L	spice, oats, nutty, fatty	3.25
2610	Cacaosuyo	Peru	2021	Peru	Piura Select	70%	2- B,S	chocolate and grapes	4
2614	Cacaosuyo	Peru	2021	Peru	Cuzco	80%	2- B,S	smooth, slow, mild grape	3.5
2614	Cacaosuyo	Peru	2021	Peru	Lakuna, Amazonas, silvestre	70%	2- B,S	complex, floral, spicy, fruit	3.5
2610	Cacaosuyo	Peru	2021	Peru	Chuncho-Cuzco	70%	2- B,S	herbal, cocoa tea	3.5
2542	Brasstown	U.S.A.	2021	Tanzania	Kokoa Kamili	62%	3- B,S,C	very sweet, melon, caramel	3
2554	Bonnat	France	2021	Nicaragua	El Castillero, Indio Maiz	75%	3- B,S,C	bold, woody, nut, roasty, creamy	3.75
2590	Black Sheep	U.S.A.	2021	Colombia	Sierra Nevada, batch 92	72%	3- B,S,C	burnt caramel, cocoa, floral	3.25
2590	Black Sheep	U.S.A.	2021	Belize	Maya Mountain, batch 98	72%	3- B,S,C	honey with subtle tobacco	3.25
2574	Black Mountain	U.S.A.	2021	Dominican Republic	"Cocoa Nibs", Hispaniola w/ nibs	70%	4- B,S,C,L	bright fruit, crisp nibs, cocoa	3.75
2700	Zacharias	U.S.A.	2021	Bolivia	Tranquilidad, wild Bolivia	70%	3- B,S,C	sweet, tart, sour	3
2618	Zac Squared	U.S.A.	2021	Vietnam	Ben Tre	70%	3- B,S,C	tart, cherry, cocoa, mild sour	3.5
2618	Zac Squared	U.S.A.	2021	Trinidad	Rio Claro	70%	3- B,S,C	nutty, fruity, sweet	3.25
2618	Zac Squared	U.S.A.	2021	Dominican Republic	Zorzal	70%	3- B,S,C	sweet, rich, cocoa, fruity	3.5
2656	Woodblock	U.S.A.	2021	Tanzania	Kokoa Kamili, batch 23	70%	2- B,S	short, tart, fruit, sweet edge	3
2652	Wm	U.S.A.	2021	Dominican Republic	Dominican Republic	70%	3- B,S,C	dairy, caramel, brownie, nutty	3.5
2626	White Label aka Mutari	U.S.A.	2021	Uganda	Semuliki, 2017-18 h., batch SU72conche22212621	72%	3- B,S,C	nutty, cocoa, yogurt	3.5
2622	White Label aka Mutari	U.S.A.	2021	Trinidad	Garcia Estate, 2019 harvest, b. GT722162021820	72%	3- B,S,C	complex, mild tobacco, nut, fruit	3.75
2626	White Label aka Mutari	U.S.A.	2021	Philippines	Kablon Farms, b. KP7417211821	74%	3- B,S,C	nutty, roasted cherry, coffee	3.5
2622	White Label aka Mutari	U.S.A.	2021	Honduras	La Masica, 2015 harvest, b. LH74HORZConcheV2	74%	2- B,S	brownie, nutty, roasty	3.75
2578	Videri	U.S.A.	2021	Guatemala	Chimelb	75%	2- B,S	earthy, harsh, acidic	2.75
2578	Videri	U.S.A.	2021	Ecuador	Costas Esmeraldas	75%	2- B,S	floral & fruit	3.5
2578	Videri	U.S.A.	2021	Dominican Republic	Zorzal	75%	2- B,S	roasty, berry notes	3
2578	Videri	U.S.A.	2021	Blend	"Classic Dark", Ecuador-Guatemala-Dom. Rep.	70%	3- B,S,C	nutty, grassy, cocoa	3.5
2648	A. Morin	France	2021	Mexico	La Joya	70%	4- B,S,C,L	light color, fruit, yogurt	4
2664	Triangle Roasters	U.S.A.	2021	Philippines	Malah Na Bulong	70%	2- B,S	sticky, butterscotch, sl. Hammy	3.25
2648	Belvie	Vietnam	2021	Vietnam	Ben Tre, batch 70301	70%	3- B,S,C	dominate cocoa notes	3.75
2566	Taylor Made	U.S.A.	2021	Haiti	Haiti, batch 2020SEP	67%	3- B,S,C	earthy, fatty, gritty	2.75
2634	sweet beans	U.S.A.	2021	Uganda	Uganda	77%	3- B,S,C	melon, mocha	3.5
2634	sweet beans	U.S.A.	2021	Trinidad	Trinidad	80%	3- B,S,C	herbal, tea, dried fruit	3.75
2634	sweet beans	U.S.A.	2021	Peru	Peru	72%	3- B,S,C	earthy, roasty, hammy	3
2634	sweet beans	U.S.A.	2021	Honduras	Honduras	72%	3- B,S,C	overly roasty, spicy	3
2684	Spinnaker	U.S.A.	2021	Uganda	Bundibugyo, Semuliki Forest, batch 9-1	70%	2- B,S	dairy, cocoa, well balanced	3.5
2684	Spinnaker	U.S.A.	2021	Madagascar	Bejofo, Akesson, batch 10-1	70%	2- B,S	plum, roasty undertone, sour	3.5
2684	Spinnaker	U.S.A.	2021	Belize	Maya Mountain, Toledo District, batch 12-1	70%	2- B,S	strong roast, tart raspberry	3.25
2700	Soma	Canada	2021	Vietnam	Ben Tre, batch BEN210924 8983	70%	3- B,S,C	cinamon, nutmeg, hot cocoa	4
2638	Soma	Canada	2021	Venezuela	Guasare, Rosario de Perija, b.4279-GUA201123	70%	3- B,S,C	spice, sour malt, woody	3.5
2638	Soma	Canada	2021	Madagascar	Bejofo, Sambirano V., Akesson, b. 6116-BEJ210324	70%	3- B,S,C	red fruit, peanut butter, cocoa	3.5
2680	Soma	Canada	2021	Blend	Dream Machine (Mad./Dom.Rep./Ecuador)	62%	4- B,S,C,V	sweet, cocoa, candy like	3.25
2660	Solstice	U.S.A.	2021	Vietnam	Dak Nong, Lot 103120	70%	3- B,S,C	molasses, raisins, astringent	3.5
2652	Sirene	Canada	2021	Mexico	Soconusco, Rayen Cacao Co-op	73%	3- B,S,C	bland, sour, lacks development	3
2652	Sirene	Canada	2021	India	Anamalai, Pollachi City	73%	3- B,S,C	butterscotch, slight burnt note	3.25
2594	Seahorse	U.S.A.	2021	Vietnam	Ben Tre	70%	2- B,S	blueberry & cocoa dominate	3.5
2660	Seahorse	U.S.A.	2021	Trinidad	Gewan Gangaram	75%	2- B,S	sl roasty, woody, melon, spicy	3.25
2590	Seahorse	U.S.A.	2021	Peru	Ucayali	70%	2- B,S	orange, fig, cocoa	3.5
2660	Seahorse	U.S.A.	2021	India	Anamalai	70%	2- B,S	sticky, dark berry, roasty edge	3.5
2660	Ruket	Italy	2021	Tanzania	Kokoa Kamili. Lot 73T	72%	2- B,S	clean, pure cocoa, cherry, gritty	3.5
2668	Ruket	Italy	2021	Indonesia	Sumba, lot 02IN	77%	2- B,S	mild smoke, tart, spice, harsh	2.75
2672	Rozsavolgyi	Hungary	2021	Peru	Piura, Norandino, Gran Blanco Nativo, b. PB4704	72%	3- B,S,C	blackberry, mild floral	3.75
2618	Raphio	U.S.A.	2021	Ghana	Suhum Region, ABOCFA, b. IG7720	72%	3- B,S,C	gateway, nutty, rich cocoa	3.5
2668	Ranger	U.S.A.	2021	Mexico	Soconusco	70%	2- B,S	fruit, yogurt, astringent	3.25
2594	Qantu	Canada	2021	Peru	Chaska, Junin, lot 425	70%	3- B,S,C	bold, fig w/ floral undertone	3.75
2672	Avanaa	Canada	2021	Dominican Republic	Zorzal	70%	2- B,S	intense, sour tart plum, rubber	3
2672	Avanaa	Canada	2021	Colombia	Tumaco	70%	2- B,S	chemical, spice, earthy	2.5
2538	Potomac	U.S.A.	2021	Uganda	Semuliki Forest, batch 20035	75%	2- B,S	light cocoa, dairy,faint cinnamon	3.75
2622	Potomac	U.S.A.	2021	Peru	Ucayali, batch 200105	70%	2- B,S	anise, cocoa, dried fruit	3.75
2582	Poppy and Peep	U.S.A.	2021	Haiti	Haiti	71%	3- B,S,C	sweet, spoiled milk, vegetal	2.75
2582	Poppy and Peep	U.S.A.	2021	Guatemala	Guatemala	76%	3- B,S,C	tart with woody undertones	3
2586	Poppy and Peep	U.S.A.	2021	Ghana	Ghana	66%	3- B,S,C	extra sweet, nutty, deep cocoa	3
2700	Pierre Marcolini	Belgium	2021	China	Hainan, lot 218012	72%	4- B,S,C,L	fruity, rich, grassy	3.5
2680	Orfeve	Switzerland	2021	Peru	Piura, Gran Blanco, 2019 Harvest, b. 7/9-2	75%	3- B,S,C	grape, punchy, deep cocoa	3.25
2676	Orfeve	Switzerland	2021	Peru	San Ignacio, 2020 Harvest, Cajamarca, b. 6/10-1	70%	3- B,S,C	caramel, honey, roasty	3.25
